No,pkg_name,Result,Is LLM?,feature,Link,,,,,,
#REF!,com.itgurussoftware.android.peoplehr,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.mailchimp.mailchimp,Found,TRUE,Write and reply emails with AI using generative LLM,https://1drv.ms/i/c/5fa1cb2377a2d0d7/IQA0qECJ4nwZSJTqa77dClWBAcLTQ0mIfo_rRJNebFJ-FBQ?e=kmUUld,,,,,,
#REF!,com.markate.markatepro,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.method.methodcrm,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.mhelpdesk.endeavor,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.mobisystems.editor.office_with_reg,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.pegasustranstech.transflonowplus,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.pennyapp.pennyy,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.perfectcorp.ymkbusiness,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.plangrid.android,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.procurify.client,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.spatialnetworks.fulcrum,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.tm.mms.TeleMessageClientApp,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.trane.bassuite.android,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.vaion.vcore,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.viasql.classic,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.wantedly.android.namecard_scanner,Not found,FALSE,NO LLM,,,,,,,
#REF!,cz.dactylgroup.smartsupp.android,Not found,FALSE,NO LLM,,PHÚ HỘI,,,,,
#REF!,io.doubletick.mobile.crm,Not found,FALSE,NO LLM,,,,,,,
#REF!,io.shepherdworkshop.app,Not found,FALSE,NO LLM,,,,,,,
#REF!,nl.ibridge.planning,Not found,FALSE,NO LLM,,,,,,,
#REF!,org.geminishalesolutions.gemini,Not found,FALSE,NO LLM,,,,,,,
#REF!,ru.dikidi.beauty.business,Not found,FALSE,NO LLM,,,,,,,
#REF!,th.co.gofive.empeo,Not found,FALSE,NO LLM,,,,,,,
#REF!,us.nextforce.app,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.astarsoftware.spades,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.casualino.vipbelote.single,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.eryodsoft.android.cards.damedepique,Not found,FALSE,NO LLM,,XUÂN HẠ,,,,,
#REF!,com.eryodsoft.android.cards.tarot.lite,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.jpapale.cyberjass,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.thecardgamescompany.bridge.free.cardgames.bridgecardgamesfree.bridgecardgame,Can't download,FALSE,,,,,,,,
#REF!,com.tonielro.mygdxgame,Not found,FALSE,NO LLM,,,,,,,
#REF!,net.becvert.tarotfrancais,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.iaan.pencilcamera,AI Only,FALSE,"NO LLM, only Image modification/generation models",,,,,,,
#REF!,my.geulga,Can't download,FALSE,Yêu cầu truy cập hết các file ghê quá hong dám cho,,,,,,,
#REF!,app.voyp,Can't download,FALSE,,,,,,,,
#REF!,com.YONONPMobileApp,Can't download,FALSE,App của Nepal hong truy cập dc,,,,,,,
#REF!,com.avaya.cloudoffice,Can't download,FALSE,Phải có account sẵn mới sài được,,,,,,,
#REF!,com.gemtechnologies.gem4me,Found,TRUE,"Text generation, Image Generation",112.jpg,,,,,,
#REF!,com.handcent.app.nextsms,Found,TRUE,"Text generation, Text Summarization, Text Suggestion","https://1drv.ms/i/c/5fa1cb2377a2d0d7/IQDK2h02ODp1RLEajXAg77o6ATw4KRKSLqdZDa0u8ccMU2E?e=BUvuo44
https://1drv.ms/i/c/5fa1cb2377a2d0d7/IQBmhwy-iqF9S6eFIpoN9mlAAQMM_AC1DI_JrSMBKneQijI?e=cpOVfm
https://1drv.ms/i/c/5fa1cb2377a2d0d7/IQB5h_SjqeZYRbdAwcnFN-vTAVhg0W6GIJ8UcWpa6n5hbSg?e=Zn0srk",,,,,,
#REF!,com.heartbeatreactnative,Can't download,FALSE,Không có tài khoản community không đăng nhập được,,,,,,,
#REF!,com.jesusrojo.vttvfull,Not found,FALSE,NO LLM,,,,,,,
#REF!,com.lemi.keywordmarketingautoresponder,Can't download,FALSE,,,,,,,,
#REF!,com.messages.chat,Not found,FALSE,NO LLM,,,,,,,
1,ai.boyfriend.virtual.dating.lover.iboy,Found,,,,,,,,,
2,ai.praktika.android,Found,,,,,,,,,
3,ai.rocky.app,Found,,,,,,,,,
5,app.awarefy.awarefyapp,Found,,,,,,,,,
9,co.vulcanlabs.pictranslator,Found,,,,,,,,,
10,com.adobe.reader,Found,,,,,,,,,
13,com.baek.Gatalk_market,Found,,,,,,,,,
15,com.coursehero.coursehero,Found,,,,,,,,,
18,com.ejoy.epic,Found,,,,,,,,,
22,com.innovate.BlackPeopleMingle,Found,,,,,,,,,
23,com.innovate.ChinaSocial,Found,,,,,,,,,
24,com.innovate.MalaysianSocial,Found,,,,,,,,,
25,com.innovate.SaudiArabiaCupid,Found,,,,,,,,,
26,com.innovate.SingaporeSocial,Found,,,,,,,,,
27,com.innovate.ThaiSocial,Found,,,,,,,,,
30,com.kindermate.kai,Found,,,,,,,,,
33,com.mailtime.android,Found,,,,,,,,,
36,com.microsoft.bing,Found,,,,,,,,,
37,com.mingle.AussieSocial,Found,,,,,,,,,
38,com.mingle.DutchCupid,Found,,,,,,,,,
39,com.mingle.EuropianMingle,Found,,,,,,,,,
40,com.mingle.PolishCupid,Found,,,,,,,,,
41,com.mingle.SwissCupid,Found,,,,,,,,,
42,com.mingle.VenezuelaCupid,Found,,,,,,,,,
50,com.redraw.keyboard,Found,,,,,,,,,
52,com.smartremote.homepodsiri,Found,,,,,,,,,
56,com.surrealwork.mementomori,Found,,,,,,,,,
57,com.tag_hive.saathi.saathi,Found,,,,,,,,,
58,com.testa.databot,Found,,,,,,,,,
61,com.tuya.smartlife,Found,,,,,,,,,
62,com.wellocution.androidapp,Found,,,,,,,,,
64,com.xvideostudio.videodownload,Found,,,,,,,,,
67,help.simplicity.simplicity,Found,,,,,,,,,
68,in.softecks.artificialintelligence,Found,,,,,,,,,
69,insights.investments.app,Found,,,,,,,,,
70,messenger.x.chat.bot.messenger.release,Found,,,,,,,,,
71,quick.read.app,Found,,,,,,,,,
